"","site","date","SeedClim_plotID","FunCaB_plotID","soil_moisture"
"33","Fauske",2016-06-13,"51 TTC","Fau1C",0.0315
"34","Fauske",2016-06-13,"57 TTC","Fau2C",0.0645
"35","Fauske",2016-06-13,"61 TTC","",0.05925
"36","Fauske",2016-06-13,"68 TTC","Fau4C",0.068
"37","Fauske",2016-06-13,"73 TTC","Fau5C",0.08875
"38","Fauske",2016-06-13,"Fau1XC","Fau1XC",0.071
"39","Fauske",2016-06-13,"Fau2XC","Fau2XC",0.0345
"40","Fauske",2016-06-13,"Fau3XC","Fau3XC",0.033
"41","Fauske",2016-06-13,"Fau4XC","Fau4XC",0.05025
"42","Vikesland",2016-07-18,"140 TTC","Vik3C",0.24425
"43","Vikesland",2016-07-18,"146 TTC","Vik5C",0.23975
"44","Vikesland",2016-07-18,"Vik1XC","Vik1XC",0.2585
"45","Vikesland",2016-07-18,"Vik2XC","Vik2XC",0.1795
"46","Vikesland",2016-07-18,"Vik3XC","Vik3XC",0.242
"47","Vikesland",2016-07-18,"Vik4XC","Vik4XC",0.22625
"48","Arhelleren",2016-05-23,"211 TTC","Arh1C",0.2055
"49","Arhelleren",2016-05-23,"216 TTC","",0.1985
"50","Arhelleren",2016-05-23,"222 TTC","Arh3C",0.198
"51","Arhelleren",2016-05-23,"226 TTC","Arh4C",0.17825
"52","Arhelleren",2016-05-23,"234 TTC","",0.1835
"53","Arhelleren",2016-05-23,"Arh2C","Arh1C",0.1905
"54","Arhelleren",2016-06-17,"211 TTC","Arh1C",0.14925
"55","Arhelleren",2016-06-17,"216 TTC","",0.10375
"56","Arhelleren",2016-06-17,"222 TTC","Arh3C",0.10425
"57","Arhelleren",2016-06-17,"226 TTC","Arh4C",0.13075
"58","Arhelleren",2016-06-17,"234 TTC","",0.1025
"59","Arhelleren",2016-06-17,"Arh1XC","Arh1XC",0.1095
"60","Arhelleren",2016-06-17,"Arh2XC","Arh2XC",0.149
"61","Arhelleren",2016-06-17,"Arh3XC","Arh3XC",0.12425
"62","Arhelleren",2016-06-17,"Arh4XC","Arh4XC",0.1395
"63","Arhelleren",2016-06-17,"Arh2C","Arh2C",0.1515
"64","Arhelleren",2016-06-08,"211 TTC","Arh1C",0.13125
"65","Arhelleren",2016-06-08,"216 TTC","",0.07475
"66","Arhelleren",2016-06-08,"222 TTC","Arh3C",0.11875
"67","Arhelleren",2016-06-08,"226 TTC","Arh4C",0.1075
"68","Arhelleren",2016-06-08,"234 TTC","",0.1105
"69","Arhelleren",2016-06-08,"Arh1XC","Arh1XC",0.089
"70","Arhelleren",2016-06-08,"Arh2XC","Arh2XC",0.1125
"71","Arhelleren",2016-06-08,"Arh3XC","Arh3XC",0.13175
"72","Arhelleren",2016-06-08,"Arh4XC","Arh4XC",0.12525
"73","Arhelleren",2016-07-05,"211 TTC","Arh1C",0.369
"74","Arhelleren",2016-07-05,"216 TTC","",0.36175
"75","Arhelleren",2016-07-05,"222 TTC","Arh3C",0.38625
"76","Arhelleren",2016-07-05,"226 TTC","Arh4C",0.33625
"77","Arhelleren",2016-07-05,"234 TTC","",0.35675
"78","Arhelleren",2016-07-05,"Arh1XC","Arh1XC",0.3575
"79","Arhelleren",2016-07-05,"Arh2XC","Arh2XC",0.4035
"80","Arhelleren",2016-07-05,"Arh3XC","Arh3XC",0.39675
"81","Arhelleren",2016-07-05,"Arh4XC","Arh4XC",0.43225
"82","Arhelleren",2016-07-05,"Arh2C","Arh2C",0.37275
"83","Arhelleren",2016-07-22,"211 TTC","Arh1C",0.34525
"84","Arhelleren",2016-07-22,"216 TTC","",0.32575
"85","Arhelleren",2016-07-22,"222 TTC","Arh3C",0.33925
"86","Arhelleren",2016-07-22,"226 TTC","Arh4C",0.29925
"87","Arhelleren",2016-07-22,"234 TTC","",NA
"88","Arhelleren",2016-07-22,"Arh1XC","Arh1XC",0.371
"89","Arhelleren",2016-07-22,"Arh2XC","Arh2XC",0.40225
"90","Arhelleren",2016-07-22,"Arh3XC","Arh3XC",0.3475
"91","Arhelleren",2016-07-22,"Arh4XC","Arh4XC",0.3615
"92","Arhelleren",2016-07-22,"Arh2C","Arh2C",0.314
"93","Ovstedal",2016-05-11,"286 TTC","Ovs1C",0.10625
"94","Ovstedal",2016-05-11,"291 TTC","Ovs2C",0.132
"95","Ovstedal",2016-05-11,"297 TTC","Ovs3C",0.10425
"96","Ovstedal",2016-05-11,"297 TTC","Ovs3C",0.10425
"97","Ovstedal",2016-05-11,"301 TTC","",0.13075
"98","Ovstedal",2016-05-11,"Ovs4C","Ovs4C",0.1245
"99","Ovstedal",2016-05-11,"307 TTC","",0.115
"100","Ovstedal",2016-07-06,"286 TTC","Ovs1C",0.255
"101","Ovstedal",2016-07-06,"291 TTC","Ovs2C",0.16825
"102","Ovstedal",2016-07-06,"297 TTC","Ovs3C",0.1885
"103","Ovstedal",2016-07-06,"301 TTC","",0.2245
"104","Ovstedal",2016-07-06,"307 TTC","",0.2105
"105","Ovstedal",2016-07-06,"Ovs1XC","Ovs1XC",0.231
"106","Ovstedal",2016-07-06,"Ovs2XC","Ovs2XC",0.2745
"107","Ovstedal",2016-07-06,"Ovs3XC","Ovs3XC",0.1885
"108","Ovstedal",2016-07-06,"Ovs4XC","Ovs4XC",0.2335
"109","Ovstedal",2016-07-06,"Ovs4C","Ovs4C",0.2245
"110","Ovstedal",2016-07-13,"286 TTC","Ovs1C",0.2215
"111","Ovstedal",2016-07-13,"291 TTC","Ovs2C",0.184
"112","Ovstedal",2016-07-13,"297 TTC","Ovs3C",0.24075
"113","Ovstedal",2016-07-13,"301 TTC","",0.26475
"114","Ovstedal",2016-07-13,"307 TTC","",0.2295
"115","Ovstedal",2016-07-13,"Fc4C","Ovs4C",0.18875
"116","Ovstedal",2016-07-13,"Ovs1XC","Ovs1XC",0.25575
"117","Ovstedal",2016-07-13,"Ovs2XC","Ovs2XC",0.256
"118","Ovstedal",2016-07-13,"Ovs3XC","Ovs3XC",0.2225
"119","Ovstedal",2016-07-13,"Ovs4XC","Ovs4XC",0.27925
"120","Alrust",2016-05-09,"29 TTC","Alr1C",0.11
"121","Alrust",2016-05-09,"29 TTC","Alr1C",0.11
"122","Alrust",2016-05-09,"31 TTC","Alr2C",0.1189625
"123","Alrust",2016-05-09,"31 TTC","Alr2C",0.1189625
"124","Alrust",2016-05-09,"37 TTC","Alr3C",0.078
"125","Alrust",2016-05-09,"37 TTC","Alr3C",0.078
"126","Alrust",2016-05-09,"46 TTC","",0.04575
"127","Alrust",2016-05-09,"Alr4C","Alr4C",0.09
"128","Alrust",2016-05-09,"45 TTC","",0.08
"129","Alrust",2016-06-21,"29 TTC","Alr1C",0.26375
"130","Alrust",2016-06-21,"31 TTC","Alr2C",0.2475
"131","Alrust",2016-06-21,"37 TTC","Alr3C",0.218625
"132","Alrust",2016-06-21,"45 TTC","",0.2115
"133","Alrust",2016-06-21,"46 TTC","",0.17925
"134","Alrust",2016-06-21,"37 TTC","Alr3C",0.218625
"135","Alrust",2016-06-21,"Alr5C","Alr4C",0.3015
"136","Alrust",2016-06-21,"Alr1XC","Alr1XC",0.2815
"137","Alrust",2016-06-21,"Alr2XC","Alr2XC",0.2275
"138","Alrust",2016-06-21,"Alr3XC","Alr3XC",0.14875
"139","Alrust",2016-06-21,"Alr4XC","Alr4XC",0.16275
"140","Alrust",2016-06-14,"29 TTC","Alr1C",0.118
"141","Alrust",2016-06-14,"31 TTC","Alr2C",0.121
"142","Alrust",2016-06-14,"37 TTC","Alr3C",0.0875
"143","Alrust",2016-06-14,"45 TTC","",0.06875
"144","Alrust",2016-06-14,"46 TTC","",0.068
"145","Alrust",2016-06-14,"Alr4C","Alr4C",0.094
"146","Alrust",2016-06-14,"Alr1XC","Alr1XC",0.13275
"147","Alrust",2016-06-14,"Alr2XC","Alr2XC",0.10975
"148","Alrust",2016-06-14,"Alr3XC","Alr3XC",0.06165
"149","Alrust",2016-06-14,"Alr4XC","Alr4XC",0.10075
"150","Alrust",2016-06-14,"37 TTC","Alr3C",0.0875
"151","Alrust",2016-06-23,"29 TTC","Alr1C",0.204
"152","Alrust",2016-06-23,"31 TTC","Alr2C",0.221
"153","Alrust",2016-06-23,"37 TTC","Alr3C",0.1265
"154","Alrust",2016-06-23,"45 TTC","",0.17125
"155","Alrust",2016-06-23,"46 TTC","",0.12
"156","Hogsete",2016-05-10,"101 TTC","Hog1C",0.0925
"157","Hogsete",2016-05-10,"110 TTC","Hog2C",0.09375
"158","Hogsete",2016-05-10,"115 TTC","Hog3C",0.153
"159","Hogsete",2016-05-10,"116 TTC","",0.1125
"160","Hogsete",2016-05-10,"Hog4C","Hog4C",0.12525
"161","Hogsete",2016-05-10,"124 TTC","",0.11825
"162","Hogsete",2016-06-23,"101 TTC","Hog1C",0.089
"163","Hogsete",2016-06-23,"110 TTC","Hog2C",0.10325
"164","Hogsete",2016-06-23,"115 TTC","Hog3C",0.10225
"165","Hogsete",2016-06-23,"116 TTC","",0.08325
"166","Hogsete",2016-06-23,"124 TTC","",0.1225
"167","Hogsete",2016-06-23,"Hog1XC","Hog1XC",0.09425
"168","Hogsete",2016-06-23,"Hog2XC","Hog2XC",0.10425
"169","Hogsete",2016-06-23,"Hog3XC","Hog3XC",0.10325
"170","Hogsete",2016-06-23,"Hog4XC","Hog4XC",0.1415
"171","Hogsete",2016-06-23,"Hog4C","Hog4C",0.1
"172","Hogsete",2016-06-15,"101 TTC","Hog1C",0.032
"173","Hogsete",2016-06-15,"110 TTC","Hog2C",0.01375
"174","Hogsete",2016-07-07,"101 TTC","Hog1C",0.12825
"175","Hogsete",2016-07-07,"110 TTC","Hog2C",0.18175
"176","Hogsete",2016-07-07,"115 TTC","Hog3C",0.15325
"177","Hogsete",2016-07-07,"116 TTC","",0.169
"178","Hogsete",2016-07-07,"124 TTC","",0.2025
"179","Hogsete",2016-07-07,"Hog1XC","Hog1XC",0.20725
"180","Hogsete",2016-07-07,"Hog2XC","Hog2XC",0.222
"181","Hogsete",2016-07-07,"Hog3XC","Hog3XC",0.2255
