Site	Species	Treat	Block	Plot	Year	Date	Registrator	IDS	MS	IDG	X	Y	SH	NL	NL_partitioned	LL	WL	NFL	NFL1	NFL2	NFL3	NFL4	NFL5	NB	NB1	NB2	NB3	NC	NC1	NC2	NAC	NFS	Length of aks	Length of aks (partitioned)	seedl	juvinale	comment
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		9			8,0	7,0				22																					new shoot
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		10			9,0	8,0				244																					
Ulv	Car_pal	Novel	2	1	2018	13.09.2018		11			7,5	8,5				30																					new shoot
Låv	Hyp_mac	Novel	3	3	2018	14.09.2018	IA	1			17,5	17,5	240	164		16	12	2						2				5									
Låv	Hyp_mac	Novel	3	3	2018	14.09.2018	IA	2			18,0	8,0	229	116		16	10	3						1				6									
Låv	Suc_pra	Novel	3	3	2018	14.09.2018	IA	1			27,0	18,0		19	13+6	135	37	41	10	12	19																
Låv	Suc_pra	Novel	3	3	2018	14.09.2018	IA	2			28,0	9,5		10		92	24																				
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	1			16,5	18,0		4		161																	15				
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	2			17,0	16,0		5		262																					
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	3			18,0	18,5		15		28																	47	29+18			2 new shoots
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	4			15,5	8,0				370																					6 shoots
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	5			16,0	6,0		3		155																	26				1+4 new
Gud	Suc_pra	Novel	1	2	2018	03.09.2018	SO	1			17,5	19,0		14	12+2	95	21	9						3													
Gud	Suc_pra	Novel	1	2	2018	03.09.2018	SO	2			15,5	7,0		26	20+6	162	37	30	9	9	12																
Gud	Hyp_mac	Novel	1	2	2018	03.09.2018	SO	1		1	27,0	17,0	100	12		15	8																				
Gud	Hyp_mac	Novel	1	2	2018	03.09.2018	SO	2		1	28,0	16,5	172	58		25	15																				topp av skudd mangler
Gud	Hyp_mac	Novel	1	2	2018	03.09.2018	SO	3		2	27,5	8,5	309	92		19	12							1													
Gud	Hyp_mac	Novel	1	2	2018	03.09.2018	SO	4		2	29,0	9,0	92	20		11	7																				
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	6			17,5	6,5		4		242																					1+4 new grazed
Ulv	Car_pal	Novel	2	5	2018	13.09.2018	IA	7			16,0	4,0		13		323																					3 shoots
